ch,CF,PW,BW,ID,offset,exponent,error,r_squared,sub_id,timestamp,nr_intepolated_channels,nr_dropped_ica,nr_retained_epochs,nr_retained_ica
E1,8.727023624913798,0.25707097694517245,2.450484434705418,0,-9.921433826258712,0.4902183042299368,0.044091412079655,0.8912869011996131,109,2024-06-26 01:28:37.138761,7,6,63,42
E2,8.388556598083323,0.30870724434433683,2.5202528934325623,1,-10.06808531467333,0.13857525029393591,0.03759912652468548,0.682330666815577,109,2024-06-26 01:28:37.138761,7,6,63,42
E2,22.74682581618711,0.22122359643600475,5.65810545013607,1,-10.06808531467333,0.13857525029393591,0.03759912652468548,0.682330666815577,109,2024-06-26 01:28:37.138761,7,6,63,42
E3,8.458993275576896,0.29662350857966757,2.5261643915582974,2,-10.019368473951998,0.22377196725931142,0.034392799446997455,0.7628684468863431,109,2024-06-26 01:28:37.138761,7,6,63,42
E3,22.70022290041804,0.18823033034445835,5.593693259938617,2,-10.019368473951998,0.22377196725931142,0.034392799446997455,0.7628684468863431,109,2024-06-26 01:28:37.138761,7,6,63,42
E4,8.446739454074228,0.30303548286330795,2.506825659172359,3,-10.00988566782425,0.2629076069403974,0.03314786374579742,0.7988184925653645,109,2024-06-26 01:28:37.138761,7,6,63,42
E4,22.648774269832867,0.17895037809609882,5.405247413701883,3,-10.00988566782425,0.2629076069403974,0.03314786374579742,0.7988184925653645,109,2024-06-26 01:28:37.138761,7,6,63,42
E5,8.578744298251628,0.2832729089050243,2.637962365525936,4,-10.04741084721713,0.4193878184008161,0.04784430904958424,0.8598245535198895,109,2024-06-26 01:28:37.138761,7,6,63,42
E6,8.642621318868553,0.27176804969926316,2.613362902917244,5,-10.097243430131524,0.41845441536503747,0.03148136267282263,0.884576302294844,109,2024-06-26 01:28:37.138761,7,6,63,42
E6,22.48659505203799,0.1533803179214921,5.599838309392399,5,-10.097243430131524,0.41845441536503747,0.03148136267282263,0.884576302294844,109,2024-06-26 01:28:37.138761,7,6,63,42
E7,8.590368360295772,0.2328264522737804,2.4334356038979386,6,-10.220916810266688,0.5564188045140811,0.044503931670722224,0.9076958837623634,109,2024-06-26 01:28:37.138761,7,6,63,42
E9,8.829261630757172,0.22452436325320946,2.0324613520907437,8,-10.582887130600165,0.7546302474222254,0.03623835468558956,0.9634794969116766,109,2024-06-26 01:28:37.138761,7,6,63,42
E10,8.540427572065576,0.24295180887611245,2.1710613024654632,9,-9.779984533352879,0.464441114466446,0.040945325971436165,0.8792644294061336,109,2024-06-26 01:28:37.138761,7,6,63,42
E11,8.487444868480239,0.24626390445945923,2.3168557139656927,10,-9.851164770156057,0.38666845093998176,0.05361595316779301,0.8075226221012011,109,2024-06-26 01:28:37.138761,7,6,63,42
E12,8.561890071212321,0.24166855327820258,2.402722965032089,11,-9.905144092985571,0.45378643437740745,0.03643000362032647,0.9038234807100606,109,2024-06-26 01:28:37.138761,7,6,63,42
E12,19.706781444982507,0.12560498156811484,5.74807361194897,11,-9.905144092985571,0.45378643437740745,0.03643000362032647,0.9038234807100606,109,2024-06-26 01:28:37.138761,7,6,63,42
E13,8.590167182844969,0.23985812809139517,2.4746324806347455,12,-9.927844177228874,0.47065800237236827,0.04375962831844076,0.8917253652326391,109,2024-06-26 01:28:37.138761,7,6,63,42
E14,8.756955088570852,0.24261619425014658,2.8703651193183983,13,-10.106989409721836,0.48931885002175746,0.04231216047472403,0.9139886889272462,109,2024-06-26 01:28:37.138761,7,6,63,42
E15,8.989836036625332,0.18986857647387723,2.8831690381222503,14,-10.389740426621048,0.6081734850719626,0.03727199258837956,0.942422050189746,109,2024-06-26 01:28:37.138761,7,6,63,42
E16,8.790856596912533,0.17621701119551858,2.494341684505943,15,-10.570783312154177,0.6566981179283428,0.03477426706000793,0.9491462721502192,109,2024-06-26 01:28:37.138761,7,6,63,42
E17,8.795432847601667,0.2610980061403083,2.302217297735758,16,-10.209037362753865,0.63337081750246,0.04969862409520682,0.9117213495285869,109,2024-06-26 01:28:37.138761,7,6,63,42
E18,8.44883370687743,0.23721514353402462,2.1078324722605504,17,-9.882860314311273,0.38443874309385545,0.04360817383456687,0.8334504763875746,109,2024-06-26 01:28:37.138761,7,6,63,42
E19,8.486068099257091,0.22406411795222958,2.3092078196223165,18,-9.974476652396277,0.34221234788503946,0.05394936225187354,0.7654902814891632,109,2024-06-26 01:28:37.138761,7,6,63,42
E20,8.700264533309312,0.2476910875106757,2.597085275206136,19,-10.03584161629161,0.44665183478806203,0.04954712609288409,0.8669448330185278,109,2024-06-26 01:28:37.138761,7,6,63,42
E21,8.966018148209491,0.23394557000214355,2.806244186214902,20,-10.069835724510908,0.522196556237686,0.04393308625348148,0.91000406876917,109,2024-06-26 01:28:37.138761,7,6,63,42
E22,8.147481716937413,0.29024903512299716,1.348566889144249,21,-9.98212003368705,0.6002208348701392,0.034512864613225544,0.9345204527151559,109,2024-06-26 01:28:37.138761,7,6,63,42
E22,9.72740420577172,0.21229269517583305,2.216903762929257,21,-9.98212003368705,0.6002208348701392,0.034512864613225544,0.9345204527151559,109,2024-06-26 01:28:37.138761,7,6,63,42
E22,23.089998954170188,0.17464004173730885,4.607171041315867,21,-9.98212003368705,0.6002208348701392,0.034512864613225544,0.9345204527151559,109,2024-06-26 01:28:37.138761,7,6,63,42
E23,8.796782016628498,0.30557373623920725,2.261102984146431,22,-10.060905193369518,0.5402123843506011,0.04805759312677288,0.871514604538308,109,2024-06-26 01:28:37.138761,7,6,63,42
E23,23.109843577834948,0.16355842730713732,5.496823208813164,22,-10.060905193369518,0.5402123843506011,0.04805759312677288,0.871514604538308,109,2024-06-26 01:28:37.138761,7,6,63,42
E24,8.719239089537934,0.2909122342475552,2.2985588444547567,23,-9.892069227967388,0.49258621790432866,0.05324323319434471,0.8288428592386172,109,2024-06-26 01:28:37.138761,7,6,63,42
E24,23.052380178132736,0.1598034696252526,5.925790442263896,23,-9.892069227967388,0.49258621790432866,0.05324323319434471,0.8288428592386172,109,2024-06-26 01:28:37.138761,7,6,63,42
E25,8.388791504511058,0.32469780357683575,1.4929744610468496,24,-9.93751563690802,0.5425868877111207,0.04957221045246759,0.8992945782273178,109,2024-06-26 01:28:37.138761,7,6,63,42
E25,10.213015907470247,0.21249863058896068,2.7183812244975414,24,-9.93751563690802,0.5425868877111207,0.04957221045246759,0.8992945782273178,109,2024-06-26 01:28:37.138761,7,6,63,42
E26,8.394028833934263,0.32550714179998863,1.4995978055931858,25,-9.945083582878441,0.5770490789855781,0.03387982369903567,0.9373920446323677,109,2024-06-26 01:28:37.138761,7,6,63,42
